stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1120,-117.234001,54.3255,173.1398409995364,138.73441008770504,22.50056947617204,4075.9930182225626,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.4495e-08,2.1356975856841227e-08,1.0,1.0765,0.9778348897956091
5B.1121,-117.2229,54.325699,154.26020281379652,135.60924407477702,23.947574541462913,4176.804465553751,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.8207e-08,4.037012756071952e-08,1.0,0.6782,0.6873932779088786
5B.1122,-117.201103,54.3256,130.19068507200575,122.08849478067927,29.445118382392373,4757.584934997187,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.3016e-08,5.802362050195333e-08,1.0,0.2507,0.38329386699724194
5B.1123,-117.195198,54.331902,115.36790156015117,122.8938166696474,29.15728980070991,4714.938558070563,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.3405e-08,4.9562965384142e-08,1.0,0.5494,0.5393626496943147
5B.1125,-117.283501,54.325802,236.2207757305568,116.30346522451308,31.342655456998145,5104.95458505712,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.4239e-08,-2.193322562028693e-08,1.0,0.5053,0.585462675345489
5B.1126,-117.2714,54.325699,227.54512983040743,124.19295063753304,28.6814328589581,4648.6718671608005,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.7915e-08,-2.2904727757451254e-08,1.0,0.3244,0.49024461718751433
5B.1127,-117.259499,54.330101,223.07544385475964,138.22441864804978,22.740588847199216,4091.7312411970224,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.0701e-08,-1.6095113544112954e-08,1.0,0.6842,0.7532118794807388
5B.1128,-117.252502,54.332199,216.8636702764872,146.75223982060564,18.54918575808311,3861.8378718095614,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.2698e-08,-9.612485683298052e-09,1.0,1.0546,1.018525109797103
5B.1129,-117.231003,54.3316,161.95752001684176,150.24917716444375,16.73396224479863,3786.3459090488955,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.628e-08,2.1610912889726626e-08,1.0,0.9879,0.9204055516107851
5B.1130,-117.221497,54.332901,138.66864621446905,146.74501756755296,18.552882302687483,3862.00442009084,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.1132e-08,3.3805124621797355e-08,1.0,0.7335,0.7408626881468956
5B.1131,-117.208801,54.334099,119.56923811225516,136.65888009413456,23.46801822661278,4141.763514726195,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,5.106e-08,4.258568125364133e-08,1.0,0.6198,0.6472946115757481
5B.1132,-117.201797,54.337399,106.68290628137386,132.12705956685227,25.48880912079345,4302.195071209486,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.1211e-08,3.656001183741311e-08,1.0,0.8175,0.7354343055511658
