5B.1107,  -117.254799,  54.310699,  1,  -1.0,  1,  -7.5070e-09,  1,  1.2055 
5B.1108,  -117.241501,  54.310299,  1,  1.0,  1,  1.1235e-08,  1,  1.1945 
5B.1109,  -117.203171,  54.317829,  1,  1.0,  1,  5.9670e-08,  1,  0.0906 
5B.1111,  -117.257698,  54.314899,  1,  -1.0,  1,  -1.3988e-08,  1,  1.0148 
5B.1112,  -117.250610,  54.319149,  1,  -1.0,  1,  -7.7428e-09,  1,  1.4374 
5B.1113,  -117.233200,  54.318699,  1,  1.0,  1,  2.8031e-08,  1,  1.0121 
5B.1114,  -117.225998,  54.315701,  1,  1.0,  1,  4.0080e-08,  1,  0.7591 
5B.1116,  -117.194099,  54.321098,  1,  1.0,  1,  5.9991e-08,  1,  -0.0468 
5B.1118,  -117.257500,  54.320999,  1,  -1.0,  1,  -1.8836e-08,  1,  0.9561 
5B.1119,  -117.248901,  54.325802,  1,  -1.0,  1,  -8.5379e-09,  1,  1.4316 
5B.1120,  -117.234001,  54.325500,  1,  1.0,  1,  2.4495e-08,  1,  1.0765 
5B.1121,  -117.222900,  54.325699,  1,  1.0,  1,  4.8207e-08,  1,  0.6782 
5B.1122,  -117.201103,  54.325600,  1,  1.0,  1,  6.3016e-08,  1,  0.2507 
5B.1123,  -117.195198,  54.331902,  1,  1.0,  1,  5.3405e-08,  1,  0.5494 
5B.1125,  -117.283501,  54.325802,  1,  -1.0,  1,  -2.4239e-08,  1,  0.5053 
5B.1126,  -117.271400,  54.325699,  1,  -1.0,  1,  -2.7915e-08,  1,  0.3244 
5B.1127,  -117.259499,  54.330101,  1,  -1.0,  1,  -2.0701e-08,  1,  0.6842 
5B.1128,  -117.252502,  54.332199,  1,  -1.0,  1,  -1.2698e-08,  1,  1.0546 
5B.1129,  -117.231003,  54.331600,  1,  1.0,  1,  2.6280e-08,  1,  0.9879 
5B.1130,  -117.221497,  54.332901,  1,  1.0,  1,  4.1132e-08,  1,  0.7335 
5B.1131,  -117.208801,  54.334099,  1,  1.0,  1,  5.1060e-08,  1,  0.6198 
5B.1132,  -117.201797,  54.337399,  1,  1.0,  1,  4.1211e-08,  1,  0.8175 
5B.1133,  -117.186897,  54.335701,  1,  1.0,  1,  4.0251e-08,  1,  0.6850 
5B.1135,  -117.277603,  54.330700,  1,  -1.0,  1,  -2.1162e-08,  1,  0.8426 
5B.1136,  -117.266800,  54.334400,  1,  -1.0,  1,  -1.6126e-08,  1,  1.0499 
5B.1138,  -117.245003,  54.336601,  1,  -1.0,  1,  -5.2692e-09,  1,  1.6204 
5B.1139,  -117.230698,  54.336800,  1,  1.0,  1,  1.9174e-08,  1,  1.0296 
5B.1140,  -117.221397,  54.340801,  1,  1.0,  1,  1.8995e-08,  1,  1.0728 
5B.1141,  -117.211990,  54.340801,  1,  1.0,  1,  2.5691e-08,  1,  1.0392 
5B.1142,  -117.193703,  54.340698,  1,  1.0,  1,  2.8268e-08,  1,  0.9849 
5B.1143,  -117.288597,  54.337200,  1,  -1.0,  1,  -4.1778e-09,  1,  1.7027 
5B.1146,  -117.260399,  54.343601,  1,  1.0,  1,  1.2869e-08,  1,  1.2947 
5B.1147,  -117.252853,  54.340130,  1,  1.0,  1,  1.1865e-09,  1,  1.6705 
5B.1148,  -117.241898,  54.340900,  1,  1.0,  1,  4.6751e-09,  1,  1.0633 
5B.1149,  -117.233803,  54.344200,  1,  1.0,  1,  6.3622e-09,  1,  0.8841 
5B.1150,  -117.219704,  54.346600,  1,  1.0,  1,  2.7586e-09,  1,  1.6462 
5B.1151,  -117.203400,  54.348000,  1,  1.0,  1,  1.7924e-09,  1,  1.7971 
5B.1152,  -117.192299,  54.348202,  1,  1.0,  1,  3.7710e-09,  1,  1.7168 
5B.1153,  -117.283897,  54.344700,  1,  1.0,  1,  2.1776e-08,  1,  1.0952 
5B.1155,  -117.273201,  54.345299,  1,  1.0,  1,  2.3979e-08,  1,  1.1079 
5B.1157,  -117.247398,  54.348499,  1,  1.0,  1,  1.7738e-08,  1,  1.0257 
5B.1158,  -117.245010,  54.336590,  1,  -1.0,  1,  -5.2677e-09,  1,  1.6205 
5B.1159,  -117.226799,  54.354301,  1,  -1.0,  1,  -8.1291e-09,  1,  1.3265 
5B.1160,  -117.209900,  54.352200,  1,  -1.0,  1,  -1.3738e-08,  1,  1.1272 
5B.1161,  -117.200302,  54.355701,  1,  -1.0,  1,  -2.0118e-08,  1,  0.9002 
5B.1164,  -117.285103,  54.352001,  1,  1.0,  1,  4.4206e-08,  1,  0.6960 
5B.1165,  -117.265297,  54.352200,  1,  1.0,  1,  4.5940e-08,  1,  0.6941 
5B.1166,  -117.258553,  54.355991,  1,  1.0,  1,  5.1121e-08,  1,  0.5779 
5B.1167,  -117.245796,  54.354401,  1,  1.0,  1,  2.7074e-08,  1,  0.9612 
5B.1168,  -117.236603,  54.359600,  1,  1.0,  1,  1.2691e-08,  1,  1.3374 
5B.1171,  -117.197601,  54.359100,  1,  -1.0,  1,  -2.3658e-08,  1,  0.6488 
5B.1174,  -117.274300,  54.355999,  1,  1.0,  1,  5.6598e-08,  1,  0.5060 
5B.1175,  -117.267799,  54.360001,  1,  1.0,  1,  6.3016e-08,  1,  0.2997 
5B.1176,  -117.253799,  54.360401,  1,  1.0,  1,  4.8966e-08,  1,  0.6352 
5B.1177,  -117.241600,  54.365299,  1,  1.0,  1,  2.5754e-08,  1,  1.0600 
5B.1178,  -117.230766,  54.366051,  1,  1.0,  1,  3.3120e-09,  1,  1.7457 
5B.1179,  -117.219803,  54.364399,  1,  -1.0,  1,  -1.7656e-08,  1,  1.0125 
5B.1180,  -117.209503,  54.366798,  1,  -1.0,  1,  -2.5652e-08,  1,  0.5495 
5B.1182,  -117.278397,  54.364601,  1,  1.0,  1,  6.3021e-08,  1,  0.0877 
