stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1149,-117.233803,54.3442,84.73710329637653,158.2500185141439,12.541494044059261,3404.088590557756,5395.0,3316.8,2265.0,1.0,-1.0,1.0,1.0,-2.0987e-07,1.3703928625362164e-07,1.0,1.0034,1.7502019707642162
5B.1150,-117.219704,54.3466,79.18422088173378,138.4573762412269,22.86878009657563,3790.369240376615,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.1541e-06,-8.525087181912236e-07,1.0,0.7856,1.1648023187574787
5B.1151,-117.2034,54.348,80.06349379237983,119.96624276816475,30.508334712876323,4465.801668232172,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.1297e-06,-1.2892840512894737e-06,1.0,0.753,1.0209009874095167
5B.1152,-117.192299,54.348202,81.65448106849377,110.23273838953256,33.35613962613117,5027.338585370888,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-9.5876e-07,-1.1735160193791835e-06,1.0,0.799,1.051248990212443
5B.1153,-117.283897,54.3447,273.4965583625147,130.21500865847838,26.582477771540113,4044.911675986059,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.2316e-07,7.827841241552861e-07,1.0,1.3507,1.280459183260447
5B.1155,-117.273201,54.345299,277.2898242572702,143.1993905429181,20.55051144925883,3671.256373165474,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,6.927e-07,1.1641582440844127e-06,1.0,1.047,1.044549494080428
5B.1157,-117.247398,54.348499,4.919476325356522,166.6591865342184,7.771076358039011,3319.1659307460454,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,9.2331e-07,7.353401729198367e-07,1.0,0.5711,0.9913468914870742
5B.1158,-117.24501,54.33659,165.00415853103416,161.56215202196367,10.68082163141357,3365.508863800492,5395.0,3316.8,2265.0,1.0,-1.0,1.0,1.0,-6.5848e-07,5.640464628780551e-07,1.0,0.7187,0.931942227210201
5B.1159,-117.226799,54.354301,48.90762678140525,139.22765885267563,22.500437755625047,3769.75159234117,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.6343e-06,-1.832008404206505e-06,1.0,0.5454,0.8098095888973537
5B.1160,-117.2099,54.3522,68.55109677907679,124.39374489972451,28.917706339171524,4267.42654297613,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.5978e-06,-2.1082868727784275e-06,1.0,0.4648,0.7546862413980124
5B.1161,-117.200302,54.355701,66.27466653966952,113.65225525676485,32.46434448646105,4805.501847996382,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.4401e-06,-2.49974759214147e-06,1.0,0.4544,0.6192571290456919
5B.1164,-117.285103,54.352001,291.66909660044263,125.80910875760995,28.374270999845457,4209.624772931178,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.0856e-06,2.3200977519165346e-06,1.0,0.537,0.692505065573575
5B.1165,-117.265297,54.3522,311.20376959974305,146.44855037598128,18.897365283354645,3599.9337671395156,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.153e-06,2.3169404728345223e-06,1.0,0.4025,0.5737033593360854
5B.1166,-117.258553,54.355991,334.1770936436115,144.95470450573,19.663495133348007,3631.7264742237708,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.3563e-06,2.0124956026619293e-06,1.0,0.2983,0.715903866363099
5B.1167,-117.245796,54.354401,7.127886331401182,151.73172354477504,16.112849651769082,3500.5151232592875,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.2948e-06,3.9266943747800065e-07,1.0,0.6332,1.4899644097278548
5B.1168,-117.236603,54.3596,22.628110462106154,137.09856747810392,23.510265818591417,3827.990848713827,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.2047e-06,-1.1979796696599277e-06,1.0,0.6551,1.0706811870919157
5B.1171,-117.197601,54.3591,62.02158511013865,109.61698272390211,33.50348269149633,5070.987944520142,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.1803e-06,-2.7753468702509398e-06,1.0,0.1679,0.49174340600443733
5B.1174,-117.2743,54.355999,309.45471050543836,132.44922771039944,25.6196746107393,3969.43984410958,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.9455e-06,2.955307027002623e-06,1.0,0.1051,0.4159404477419446
5B.1175,-117.267799,54.360001,325.29459038382066,131.67079319114504,25.959063427064773,3995.1559007451365,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.4137e-06,2.8399728747003586e-06,1.0,0.2414,0.4827594041288584
5B.1176,-117.253799,54.360401,348.99025873905947,137.57842395523087,23.284956190460807,3814.5203733135677,5395.0,3316.8,2265.0,0.0,0.0,1.0,0.0,0.0,1.3443638072994974e-06,0.0,0.0,1.0044002226942597
5B.1177,-117.2416,54.365299,9.912687602677247,127.6589300237053,27.639959924474578,4137.770900754277,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-6.3305e-07,-6.721829902090001e-07,1.0,0.6868,1.362041951446169
5B.1178,-117.230766,54.366051,24.15990186577594,122.90134047937735,29.472782537756146,4331.194558757313,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.3199e-06,-2.0779180687729666e-06,1.0,0.4552,0.8020351671404577
5B.1179,-117.219803,54.364399,38.27798036027644,119.60472041864719,30.630560798011683,4483.291161451513,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-3.6231e-06,-2.949790383179201e-06,1.0,0.193,0.5066644768850084
5B.1180,-117.209503,54.366798,43.9885678476765,110.83470492331116,33.20813286895118,4985.854549456839,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.7349e-06,-3.2409848755834213e-06,1.0,0.085,0.2673145926074736
5B.1182,-117.278397,54.364601,320.1634003048242,118.18422139681032,31.09913071800427,4554.10787597441,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.4194e-06,3.2019767027483743e-06,1.0,0.0225,0.21920661246422066
5B.1186,-117.232399,54.370998,18.441641240684312,115.78663483451078,31.846579865456913,4681.868775598249,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.5276e-06,-1.8396747761804063e-06,1.0,0.5641,0.8633130849632751
5B.1187,-117.220596,54.370998,30.25834775667783,111.59264989421467,33.016257276314924,4935.190313593352,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.3652e-06,-2.788960759806819e-06,1.0,0.3086,0.5316917199766663
5B.1188,-117.209503,54.371799,38.487575354174865,106.13399778095201,34.25800154447546,5345.2063016964,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-6.4244e-06,-3.123116290111785e-06,1.0,0.2528,0.25169872649879765
5B.1190,-117.278397,54.371201,327.54703541262734,110.24023765748002,33.35431979500405,5026.81470088266,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.9572e-06,2.8604613306247826e-06,1.0,-0.1178,0.36722802121333703
5B.1192,-117.255997,54.372398,351.0075314043612,115.3658824336064,31.971971415022523,4705.454634280577,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.9849e-06,1.039730994178771e-06,1.0,0.3648,1.1396807851898303
5B.1193,-117.246696,54.3755,1.5109315729853912,111.34352485679526,33.079998658224994,4951.656485624985,5395.0,3316.8,2265.0,1.0,1.0,-1.0,1.0,4.8241e-07,-1.6936113737097811e-07,1.0,0.8589,1.9418425668466892
5B.1194,-117.232101,54.377102,15.543504664470538,107.62812170512092,33.95095149215667,5221.337026783848,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.0394e-06,-1.6753465918153647e-06,1.0,0.6065,0.8792487320654654
5B.1209,-117.214401,54.311199,148.52187393007637,104.45463935662127,34.57265297701236,5498.1163119880175,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.1201e-06,2.3249427420679835e-06,1.0,0.1086,0.47753982851436516
5B.1210,-117.214203,54.319698,140.09399560083608,113.01613494376649,32.63951244410265,4844.387052121,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.6011e-06,2.607610199429909e-06,1.0,0.1347,0.3702131911841451
5B.1215,-117.267403,54.3186,204.39283112653655,118.6784350786769,30.938238963060623,4529.081302855977,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.1318e-06,-2.429119636905066e-06,1.0,0.31,0.6494876017645086
